CD4 T cells,CD14+ Monocytes,B cells,CD8 T cells,NK cells,FCGR3A+ Monocytes,Dendritic Cells,Megakaryocytes
IL7R,CD14,MS4A1,CD8A,GNLY,FCGR3A,FCER1A,NAPA-AS1
,LYZ,,,NKG7,MS4A7,CST3,PPBP
