set_id,directory,method,normalised,log1p,scaled,time_seconds,absolute,corr_penalty,data_path,dataset,fraction_seed,gene_subset,n,n_pcs,obs_fraction,obs_key,penalty_keys,rankby_abs,seed,variance_scaled
genesets_1_0,./results/,pca,True,True,False,0.040049335000730935,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,False
genesets_1_1,./results/,pca,True,True,True,0.22089529400000174,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,False
genesets_1_2,./results/,pca,True,True,False,0.14948066000033577,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,False
genesets_1_3,./results/,pca,True,True,True,0.4008392619998631,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,False
genesets_1_4,./results/,pca,True,True,False,0.13288831499994558,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,False
genesets_1_5,./results/,pca,True,True,True,0.682341648000147,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,False
genesets_1_6,./results/,pca,True,True,False,0.0954704239993589,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,True
genesets_1_7,./results/,pca,True,True,True,0.3049667160012177,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,10,,,[],,,True
genesets_1_8,./results/,pca,True,True,False,0.14707797799928812,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,True
genesets_1_9,./results/,pca,True,True,True,0.392256269000427,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,20,,,[],,,True
genesets_1_10,./results/,pca,True,True,False,0.20345705500039912,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,True
genesets_1_11,./results/,pca,True,True,True,0.45793204300025536,True,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,30,,,[],,,True
genesets_1_12,./results/,DE,True,True,False,0.31476835399917036,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,celltype,[],False,,
genesets_1_13,./results/,random,False,False,False,0.0015019669990579132,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4166,
genesets_1_14,./results/,random,False,False,False,0.0015351120000559604,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,6098,
genesets_1_15,./results/,random,False,False,False,0.001502197999798227,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,4527,
genesets_1_16,./results/,random,False,False,False,0.001481570001487853,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,7733,
genesets_1_17,./results/,random,False,False,False,0.0015101190001587383,,,/home/zeth/PycharmProjects/spapros/data/,small_data_raw_counts.h5ad,,,20,,,,[],,8473,
